,Company name
0,Adani Ports and Special Economic Zone Limited
1,Asian Paints Limited
2,Axis Bank Limited
3,Bajaj Auto Limited
4,Bajaj Finserv Ltd.
5,Bajaj Finance Limited
6,Bharti Airtel Limited
7,Bharat Petroleum Corporation Limited
8,Britannia Industries Limited
9,Cipla Limited
10,Coal India Limited
11,Divi's Laboratories Limited
12,Dr. Reddy's Laboratories Limited
13,Eicher Motors Limited
14,GAIL (India) Limited
15,Grasim Industries Limited
16,HCL Technologies Limited
17,Housing Development Finance Corporation Limited
18,HDFC Bank Limited
19,HDFC Life Insurance Company Limited
20,Hero MotoCorp Limited
21,Hindalco Industries Limited
22,Hindustan Petroleum Corporation Limited
23,Hindustan Unilever Limited
24,ICICI Bank Limited
25,ICICI Lombard General Insurance Company Limited
26,ICICI Prudential Life Insurance Company Limited
27,IndusInd Bank Limited
28,Infosys Limited
29,Indian Oil Corporation Limited
30,ITC Limited
31,JSW Steel Limited
32,Kotak Mahindra Bank Limited
33,L&T Finance Holdings Limited
34,Larsen & Toubro Limited
35,Mahindra & Mahindra Limited
36,Marico Limited
37,Maruti Suzuki India Limited
38,National Aluminium Company Limited
39,Nestlé India Limited
40,NMDC Limited
41,NTPC Limited
42,Oil and Natural Gas Corporation Limited
43,Power Grid Corporation of India Limited
44,Reliance Industries Limited
45,SBI Life Insurance Company Limited
46,State Bank of India
47,Shree Cement Limited
48,Sun Pharmaceutical Industries Limited
49,Tata Chemicals Limited
50,Tata Consumer Products Limited
51,Tata Motors Limited
52,Tata Steel Limited
53,Tata Consultancy Services Limited
54,Tech Mahindra Limited
55,Titan Company Limited
56,Torrent Pharmaceuticals Limited
57,United Breweries Limited
58,UltraTech Cement Limited
59,UPL Limited
60,Vedanta Limited
61,Wipro Limited
62,Zee Entertainment Enterprises Limited
63,Adani Power Limited
64,Ajanta Pharma Limited
65,Alkem Laboratories Limited
66,Amara Raja Batteries Limited
67,Ambuja Cements Limited
68,Alembic Pharmaceuticals Limited
69,Apollo Hospitals Enterprise Limited
70,Apollo Tyres Limited
71,Ashok Leyland Limited
72,Astral Limited
73,Aurobindo Pharma Limited
74,Balkrishna Industries Limited
75,Bandhan Bank Limited
76,Bank of Baroda
77,Bata India Limited
78,Berger Paints India Limited
79,Bharat Forge Limited
80,Bharat Forge Limited
81,Bharat Rasayan Limited
82,Bharat Rasayan Limited
83,Biocon Limited
84,Blue Dart Express Limited
85,"The Bombay Burmah Trading Corporation, Limited"
86,Canara Bank
87,Castrol India Limited
88,Central Bank of India
89,Cholamandalam Investment and Finance Company Limited
90,Colgate-Palmolive (India) Limited
91,City Union Bank Limited
92,Cummins India Limited
93,DLF Limited
94,Dabur India Limited
95,Deepak Nitrite Limited
96,Dish TV India Limited
97,DCB Bank Limited
98,Dr. Reddy's Laboratories Limited
99,Edelweiss Financial Services Limited
100,Escorts Kubota Limited
101,Equitas Holdings Limited
102,Escorts Kubota Limited
103,Exide Industries Limited
104,The Federal Bank Limited
105,Fortis Healthcare Limited
106,General Insurance Corporation of India
107,Glenmark Pharmaceuticals Limited
108,GMR Airports Infrastructure Limited
109,Godrej Consumer Products Limited
110,Godrej Industries Limited
111,Godrej Properties Limited
112,Granules India Limited
113,Gujarat State Fertilizers & Chemicals Limited
114,Gujarat Gas Limited
115,Havells India Limited
116,Hindustan Construction Company Limited
117,HeidelbergCement India Limited
118,Heritage Foods Limited
119,Hindustan Copper Limited
120,Hindustan Zinc Limited
121,Housing and Urban Development Corporation Limited
122,IDBI Bank Limited
123,Vodafone Idea Limited
124,IDFC First Bank Limited
125,IFCI Limited
126,Indraprastha Gas Limited
127,The Indian Hotels Company Limited
128,Indian Bank
129,IndiaMART InterMESH Limited
130,InterGlobe Aviation Limited
131,Indoco Remedies Limited
132,IndoStar Capital Finance Limited
133,Ind-Swift Laboratories Limited
134,IndusInd Bank Limited
135,Infibeam Avenues Limited
136,IRB Infrastructure Developers Limited
137,Indian Railway Catering & Tourism Corporation Limited
138,ITD Cementation India Limited
139,J. B. Chemicals & Pharmaceuticals Limited
140,Jindal Steel & Power Limited
141,Jindal Stainless (Hisar) Limited
142,Jubilant FoodWorks Limited
143,Jubilant Industries Limited
144,Just Dial Limited
145,Kajaria Ceramics Limited
146,Kansai Nerolac Paints Limited
147,The Karur Vysya Bank Limited
148,KIOCL Limited
149,KNR Constructions Limited
150,KPIT Technologies Limited
151,Kaveri Seed Company Limited
152,KSB Limited
153,Dr. Lal PathLabs Limited
154,LIC Housing Finance Limited
155,L&T Technology Services Limited
156,Lupin Limited
157,Bank of Maharashtra
158,Mahindra CIE Automotive Limited
159,Mahindra Logistics Limited
160,Manappuram Finance Limited
161,Manpasand Beverages Limited
162,United Spirits Limited
163,Multi Commodity Exchange of India Limited
164,Metropolis Healthcare Limited
165,Max Financial Services Limited
166,Motilal Oswal Financial Services Limited
167,Mphasis Limited
168,MRF Limited
169,Mangalore Refinery and Petrochemicals Limited
170,Muthoot Finance Limited
171,NATCO Pharma Limited
172,Info Edge (India) Limited
173,Navin Fluorine International Limited
174,Nazara Technologies Limited
175,NCC Limited
176,Network18 Media & Investments Limited
177,National Fertilizers Limited
178,NHPC Limited
179,NIIT Limited
180,Nilkamal Limited
181,NLC India Limited
182,NMDC Limited
183,NOCIL Limited
184,NRB Bearings Limited
185,Oberoi Realty Limited
186,Oracle Financial Services Software Limited
187,Oil India Limited
188,Oil and Natural Gas Corporation Limited
189,Page Industries Limited
190,PC Jeweller Limited
191,Petronet LNG Limited
192,Pfizer Limited
193,PI Industries Limited
194,Pidilite Industries Limited
195,Punjab National Bank
196,PNC Infratech Limited
197,Polycab India Limited
198,Poly Medicure Limited
199,Power Grid Corporation of India Limited
200,PVR INOX Limited
201,Quess Corp Limited
202,RBL Bank Limited
203,Rashtriya Chemicals and Fertilizers Limited
204,REC Limited
205,Redington Limited
206,Reliance Capital Limited
207,Reliance Industries Limited
208,Reliance Infrastructure Limited
209,Rail Vikas Nigam Limited
210,Steel Authority of India Limited
211,Sanofi India Limited
212,State Bank of India
213,Shilpa Medicare Limited
214,Shoppers Stop Limited
215,Siemens Limited
216,SIS Limited
217,Solar Industries India Limited
218,The South Indian Bank Limited
219,Sun Pharma Advanced Research Company Limited
220,SpiceJet Limited
221,SRF Limited
222,Strides Pharma Science Limited
223,Star Cement Limited
224,Sudarshan Chemical Industries Limited
225,Sundram Fasteners Limited
226,Sun TV Network Limited
227,Suprajit Engineering Limited
228,Suzlon Energy Limited
229,Syngene International Limited
230,Tata Chemicals Limited
231,Tata Coffee Limited
232,Tata Elxsi Limited
233,Tata Metaliks Limited
234,Tata Motors Limited
235,Tata Motors Limited
236,The Tata Power Company Limited
237,Tata Steel Limited
238,TCI Express Limited
239,TCNS Clothing Co. Limited
240,TeamLease Services Limited
241,Tech Mahindra Limited
242,Thermax Limited
243,Time Technoplast Limited
244,Titan Company Limited
245,Torrent Power Limited
246,Trent Limited
247,Trident Limited
248,TTK Prestige Limited
249,TV18 Broadcast Limited
250,TVS Motor Company Limited
251,United Breweries Limited
252,UCO Bank
253,Uflex Limited
254,Ujjivan Financial Services Limited
255,UPL Limited
256,Usha Martin Limited
257,Vakrangee Limited
258,Vedanta Limited
259,Voltas Limited
260,VRL Logistics Limited
261,Welspun Corp Limited
262,Welspun India Limited
263,Westlife Foodworld Limited
264,Whirlpool of India Limited
265,Wockhardt Limited
266,Yes Bank Limited
267,Zee Entertainment Enterprises Limited
268,Zee Media Corporation Limited
269,Zensar Technologies Limited
270,Zydus Wellness Limited
271,20 Microns Limited
272,Twentyfirst Century Management Services Limited
273,3M India Limited
274,A2Z Infra Engineering Limited
275,Aarti Drugs Limited
276,Aarti Industries Limited
277,Aarvee Denims and Exports Ltd.
278,Aban Offshore Limited
279,ABB India Limited
280,Abbott India Limited
281,Aditya Birla Capital Limited
282,Aditya Birla Fashion and Retail Limited
283,ACC Limited
284,Accelya Solutions India Limited
285,Accuracy Shipping Limited
286,Action Construction Equipment Limited
287,Adani Green Energy Limited
288,Adani Ports and Special Economic Zone Limited
289,Adani Power Limited
290,Adani Transmission Limited
291,Ador Welding Limited
292,Advanced Enzyme Technologies Limited
293,Aegis Logistics Limited
294,Affle (India) Limited
295,Inspirisys Solutions Limited
296,Agarwal Industrial Corporation Limited
297,Agri-tech (India) Limited
298,Asian Hotels (East) Limited
299,Ahluwalia Contracts (India) Limited
300,AIA Engineering Limited
301,Airan Limited
302,Ajanta Pharma Limited
303,Ajmera Realty & Infra India Limited
304,Akash Infra-Projects Limited
305,AksharChem (India) Limited
306,Akzo Nobel India Limited
307,Alankit Limited
308,Albert David Limited
309,Alchemist Limited
310,Alembic Limited
311,Alicon Castalloy Limited
312,Alkali Metals Limited
313,Alkem Laboratories Limited
314,Alkyl Amines Chemicals Limited
315,Allcargo Logistics Limited
316,Almondz Global Securities Limited
317,Alok Industries Limited
318,Alpa Laboratories Limited
319,Alphageo (India) Limited
320,Alps Industries Limited
321,Amara Raja Batteries Limited
322,Amber Enterprises India Limited
323,Ambica Agarbathies Aroma & Industries Limited
324,Ambuja Cements Limited
325,AMD Industries Limited
326,AMJ Land Holdings Limited
327,Amrutanjan Health Care Limited
328,Anant Raj Limited
329,Andhra Cements Limited
330,The Andhra Sugars Limited
331,Anik Industries Limited
332,The Anup Engineering Limited
333,Apar Industries Limited
334,Anjani Portland Cement Limited
335,Apcotex Industries Limited
336,APL Apollo Tubes Limited
337,Alembic Pharmaceuticals Limited
338,Apollo Hospitals Enterprise Limited
339,Apollo Tyres Limited
340,Apollo Sindoori Hotels Limited
341,Aptech Limited
342,Archidply Industries Limited
343,Archies Limited
344,Arcotech Limited
345,Rajdarshan Industries Limited
346,Aries Agro Limited
347,Arihant Foundations & Housing Limited
348,Aro Granite Industries Limited
349,Arrow Greentech Limited
350,Arshiya Limited
351,ARSS Infrastructure Projects Limited
352,Arvind Limited
353,Asahi India Glass Limited
354,Asahi Songwon Colors Limited
355,Ashapura Minechem Limited
356,Ashiana Housing Limited
357,Ashima Limited
358,Ashoka Buildcon Limited
359,Asian Hotels (North) Limited
360,Asian Paints Limited
361,Asian Granito India Limited
362,Astec LifeSciences Limited
363,Astral Limited
364,Astra Microwave Products Limited
365,AstraZeneca Pharma India Limited
366,Astron Paper & Board Mill Limited
367,Agro Tech Foods Limited
368,Atlanta Limited
369,Atlas Cycles (Haryana) Limited
370,Atul Ltd
371,AU Small Finance Bank Limited
372,Aurionpro Solutions Limited
373,Aurobindo Pharma Limited
374,AuSom Enterprise Limited
375,Automotive Axles Limited
376,Autoline Industries Limited
377,Autolite (India) Limited
378,Avadh Sugar & Energy Limited
379,Avanti Feeds Limited
380,AVT Natural Products Limited
381,Axis Bank Limited
382,Axiscades Technologies Limited
383,AYM Syntex Limited
384,B.A.G. Films and Media Limited
385,Bajaj Auto Limited
386,Bajaj Consumer Care Limited
387,Bajaj Electricals Limited
388,Bajaj Finserv Ltd.
389,Bajaj Hindusthan Sugar Limited
390,Bajaj Holdings & Investment Limited
391,Bajaj Finance Limited
392,Balaji Telefilms Limited
393,Balaji Amines Limited
394,Balkrishna Paper Mills Limited
395,Ballarpur Industries Limited
396,Balmer Lawrie & Co. Ltd.
397,Bal Pharma Limited
398,Balrampur Chini Mills Limited
399,Banaras Beads Limited
400,Bannari Amman Sugars Limited
401,Banco Products (India) Limited
402,Bang Overseas Limited
403,Bank of Baroda
404,Bank of India Limited
405,Banswara Syntex Limited
406,BASF India Limited
407,Bannari Amman Spinning Mills Ltd
408,Bata India Limited
409,Bayer CropScience Limited
410,Bharat Bijlee Limited
411,"The Bombay Burmah Trading Corporation, Limited"
412,Brightcom Group Limited
413,BCL Industries Limited
414,B.C. Power Controls Limited
415,Bharat Dynamics Limited
416,Beardsell Limited
417,Bedmutha Industries Limited
418,Bharat Electronics Limited
419,BEML Limited
420,Bhansali Engineering Polymers Limited
421,Berger Paints India Limited
422,BF Investment Limited
423,BF Utilities Limited
424,BGR Energy Systems Limited
425,Bhageria Industries Limited
426,Bhagyanagar India Limited
427,Bharat Forge Limited
428,Bharat Gears Limited
429,Bharat Rasayan Limited
430,Bharti Airtel Limited
431,Bharat Heavy Electricals Limited
432,Tata Steel BSL Limited
433,Bigbloc Construction Limited
434,Bhartiya International Ltd.
435,Bil Energy Systems Limited
436,Birla Corporation Limited
437,Aditya Birla Money Limited
438,Birla Tyres Limited
439,BKM Industries Limited
440,BLB Limited
441,Bliss GVS Pharma Limited
442,B.L. Kashyap and Sons Limited
443,BLS International Services Limited
444,Blue Blends (India) Limited
445,Blue Coast Hotels Limited
446,Blue Dart Express Limited
447,Blue Star Limited
448,Bodal Chemicals Limited
449,The Bombay Dyeing and Manufacturing Company Limited
450,Borosil Limited
451,Bosch Limited
452,Bharat Petroleum Corporation Limited
453,BPL Limited
454,Bombay Rayon Fashions Limited
455,Brigade Enterprises Limited
456,Britannia Industries Limited
457,Bharat Road Network Limited
458,Brooks Laboratories Limited
459,BSE Limited
460,Burnpur Cement Limited
461,Butterfly Gandhimathi Appliances Limited
462,Barak Valley Cements Limited
463,The Byke Hospitality Limited
464,California Software Company Limited
465,Xchanging Solutions Limited
466,Camlin Fine Sciences Limited
467,Canara Bank
468,C & C Constructions Limited
469,Can Fin Homes Limited
470,Cantabil Retail India Limited
471,Capacit'e Infraprojects Limited
472,Capital First Limited
473,Caplin Point Laboratories Limited
474,Capital Trust Limited
475,Carborundum Universal Limited
476,Career Point Limited
477,CARE Ratings Limited
478,Castrol India Limited
